Backend,Driver,Format,RW,BS,IODepth,Numjobs,Round,BW(MiB/s),IOPS,LAT(ms),Util(%)
nvme-ssd,IDE,raw,read,4k,1,16,1,36.9404,9456,1.6896,99.8916
nvme-ssd,IDE,xfs,read,4k,1,16,1,36.2910,9290,1.7196,99.9383
nvme-ssd,SCSI,raw,read,4k,1,16,1,316.5469,81036,0.1959,99.9383
nvme-ssd,SCSI,xfs,read,4k,1,16,1,274.9736,70393,0.2257,99.9017
nvme-ssd,IDE,raw,read,4k,8,16,1,110.4209,28267,4.5238,99.8749
nvme-ssd,IDE,xfs,read,4k,8,16,1,103.5518,26509,4.8245,99.8833
nvme-ssd,SCSI,raw,read,4k,8,16,1,366.2637,93763,1.3639,100.0000
nvme-ssd,SCSI,xfs,read,4k,8,16,1,309.5762,79251,1.6119,100.0000
nvme-ssd,IDE,raw,read,4k,64,16,1,438.8926,112356,9.1086,99.8783
nvme-ssd,IDE,xfs,read,4k,64,16,1,244.0098,62466,16.3772,99.8699
nvme-ssd,SCSI,raw,read,4k,64,16,1,369.6689,94635,10.8174,100.0000
nvme-ssd,SCSI,xfs,read,4k,64,16,1,309.2480,79167,12.9138,100.0000
nvme-ssd,IDE,raw,read,16k,1,16,1,94.2266,6030,2.6506,99.8799
nvme-ssd,IDE,xfs,read,16k,1,16,1,105.1230,6727,2.3761,99.8783
nvme-ssd,SCSI,raw,read,16k,1,16,1,969.0557,62019,0.2564,99.9016
nvme-ssd,SCSI,xfs,read,16k,1,16,1,789.8389,50549,0.3149,99.9133
nvme-ssd,IDE,raw,read,16k,8,16,1,334.1338,21384,5.9808,99.9049
nvme-ssd,IDE,xfs,read,16k,8,16,1,251.1621,16074,7.9565,99.9149
nvme-ssd,SCSI,raw,read,16k,8,16,1,1191.7617,76272,1.6770,100.0000
nvme-ssd,SCSI,xfs,read,16k,8,16,1,872.0615,55811,2.2897,100.0000
nvme-ssd,IDE,raw,read,16k,64,16,1,555.2324,35534,28.7893,99.8899
nvme-ssd,IDE,xfs,read,16k,64,16,1,313.7305,20078,50.9458,99.8899
nvme-ssd,SCSI,raw,read,16k,64,16,1,1226.4297,78491,13.0425,100.0000
nvme-ssd,SCSI,xfs,read,16k,64,16,1,883.8193,56564,18.0764,100.0000
nvme-ssd,IDE,raw,read,64k,1,16,1,318.6504,5098,3.1361,99.8833
nvme-ssd,IDE,xfs,read,64k,1,16,1,204.0293,3264,4.8970,99.8649
nvme-ssd,SCSI,raw,read,64k,1,16,1,1670.5566,26728,0.5969,99.8766
nvme-ssd,SCSI,xfs,read,64k,1,16,1,1275.3691,20405,0.7821,99.8866
nvme-ssd,IDE,raw,read,64k,8,16,1,572.2109,9155,13.9678,99.8849
nvme-ssd,IDE,xfs,read,64k,8,16,1,328.7617,5260,24.3062,99.8949
nvme-ssd,SCSI,raw,read,64k,8,16,1,2125.3877,34006,3.7623,99.8949
nvme-ssd,SCSI,xfs,read,64k,8,16,1,1170.3145,18725,6.8160,99.9568
nvme-ssd,IDE,raw,read,64k,64,16,1,307.1465,4914,208.0870,99.8933
nvme-ssd,IDE,xfs,read,64k,64,16,1,307.9189,4926,207.5570,99.8949
nvme-ssd,SCSI,raw,read,64k,64,16,1,2102.0381,33632,30.4382,100.0000
nvme-ssd,SCSI,xfs,read,64k,64,16,1,1206.9287,19310,52.6959,100.0000
nvme-ssd,IDE,raw,read,256k,1,16,1,516.1035,2064,7.7440,99.8699
nvme-ssd,IDE,xfs,read,256k,1,16,1,317.8770,1271,12.5710,99.8699
nvme-ssd,SCSI,raw,read,256k,1,16,1,2002.3115,8009,1.9958,99.8966
nvme-ssd,SCSI,xfs,read,256k,1,16,1,455.5010,1822,8.7792,99.8633
nvme-ssd,IDE,raw,read,256k,8,16,1,283.7891,1135,112.6565,99.8716
nvme-ssd,IDE,xfs,read,256k,8,16,1,300.3906,1201,106.4588,99.8816
nvme-ssd,SCSI,raw,read,256k,8,16,1,2044.1377,8176,15.6501,99.9850
nvme-ssd,SCSI,xfs,read,256k,8,16,1,466.1689,1864,68.6125,99.8849
nvme-ssd,IDE,raw,read,256k,64,16,1,292.2852,1169,870.5945,99.8699
nvme-ssd,IDE,xfs,read,256k,64,16,1,307.7920,1231,826.3297,99.8766
nvme-ssd,SCSI,raw,read,256k,64,16,1,2062.6484,8250,123.9706,100.0000
nvme-ssd,SCSI,xfs,read,256k,64,16,1,477.2910,1909,532.0846,100.0000
nvme-ssd,IDE,raw,write,4k,1,16,1,38.4658,9847,1.6226,99.8999
nvme-ssd,IDE,xfs,write,4k,1,16,1,18.9717,4856,3.2921,99.8633
nvme-ssd,SCSI,raw,write,4k,1,16,1,6.8311,1748,9.1427,99.8783
nvme-ssd,SCSI,xfs,write,4k,1,16,1,37.3711,9567,1.6706,99.8232
nvme-ssd,IDE,raw,write,4k,8,16,1,117.8223,30162,4.2413,99.9133
nvme-ssd,IDE,xfs,write,4k,8,16,1,75.6650,19370,6.6029,99.8599
nvme-ssd,SCSI,raw,write,4k,8,16,1,28.4932,7294,17.5444,99.8949
nvme-ssd,SCSI,xfs,write,4k,8,16,1,40.9482,10482,12.2075,99.8616
nvme-ssd,IDE,raw,write,4k,64,16,1,343.9004,88038,11.6237,99.9133
nvme-ssd,IDE,xfs,write,4k,64,16,1,206.7412,52925,19.3363,99.9066
nvme-ssd,SCSI,raw,write,4k,64,16,1,101.2412,25917,39.4720,99.9399
nvme-ssd,SCSI,xfs,write,4k,64,16,1,65.6709,16811,60.8507,99.8899
nvme-ssd,IDE,raw,write,16k,1,16,1,142.2246,9102,1.7552,99.9016
nvme-ssd,IDE,xfs,write,16k,1,16,1,37.5488,2403,6.6524,99.8749
nvme-ssd,SCSI,raw,write,16k,1,16,1,143.3164,9172,1.7426,99.8833
nvme-ssd,SCSI,xfs,write,16k,1,16,1,184.6328,11816,1.3521,99.8433
nvme-ssd,IDE,raw,write,16k,8,16,1,330.2920,21138,6.0498,99.9266
nvme-ssd,IDE,xfs,write,16k,8,16,1,181.6826,11627,10.9994,99.8999
nvme-ssd,SCSI,raw,write,16k,8,16,1,209.5518,13411,9.5423,99.9083
nvme-ssd,SCSI,xfs,write,16k,8,16,1,172.2373,11023,11.6093,99.8248
nvme-ssd,IDE,raw,write,16k,64,16,1,610.9551,39101,26.1725,99.9049
nvme-ssd,IDE,xfs,write,16k,64,16,1,260.0625,16644,61.4370,99.8970
nvme-ssd,SCSI,raw,write,16k,64,16,1,217.3018,13907,73.5016,99.9349
nvme-ssd,SCSI,xfs,write,16k,64,16,1,168.1426,10761,94.9914,99.9016
nvme-ssd,IDE,raw,write,64k,1,16,1,364.9443,5839,2.7375,99.9016
nvme-ssd,IDE,xfs,write,64k,1,16,1,158.9277,2542,6.2891,99.8683
nvme-ssd,SCSI,raw,write,64k,1,16,1,341.1836,5458,2.9290,99.9049
nvme-ssd,SCSI,xfs,write,64k,1,16,1,391.4424,6263,2.5526,99.8733
nvme-ssd,IDE,raw,write,64k,8,16,1,550.9043,8814,14.5112,99.9116
nvme-ssd,IDE,xfs,write,64k,8,16,1,301.7266,4827,26.4926,99.8849
nvme-ssd,SCSI,raw,write,64k,8,16,1,327.1055,5233,24.3704,99.9983
nvme-ssd,SCSI,xfs,write,64k,8,16,1,535.2041,8563,14.9043,99.9634
nvme-ssd,IDE,raw,write,64k,64,16,1,555.1064,8881,115.1829,99.9266
nvme-ssd,IDE,xfs,write,64k,64,16,1,106.7881,1708,597.7747,99.8522
nvme-ssd,SCSI,raw,write,64k,64,16,1,341.3613,5461,186.7255,99.9917
nvme-ssd,SCSI,xfs,write,64k,64,16,1,445.9248,7134,143.1593,99.9332
nvme-ssd,IDE,raw,write,256k,1,16,1,479.7402,1918,8.3276,99.9549
nvme-ssd,IDE,xfs,write,256k,1,16,1,261.3613,1045,15.2905,99.8983
nvme-ssd,SCSI,raw,write,256k,1,16,1,410.9033,1643,9.7321,99.9650
nvme-ssd,SCSI,xfs,write,256k,1,16,1,223.9668,895,17.8551,99.9333
nvme-ssd,IDE,raw,write,256k,8,16,1,580.3398,2321,55.1195,99.9349
nvme-ssd,IDE,xfs,write,256k,8,16,1,122.3809,489,261.2362,99.8638
nvme-ssd,SCSI,raw,write,256k,8,16,1,401.4736,1605,79.6187,99.9733
nvme-ssd,SCSI,xfs,write,256k,8,16,1,193.9707,775,164.7630,99.8671
nvme-ssd,IDE,raw,write,256k,64,16,1,585.6660,2342,435.5195,99.8883
nvme-ssd,IDE,xfs,write,256k,64,16,1,84.9209,339,2977.2475,99.8422
nvme-ssd,SCSI,raw,write,256k,64,16,1,399.8896,1599,634.0158,99.9967
nvme-ssd,SCSI,xfs,write,256k,64,16,1,643.0693,2572,395.9019,99.9683
nvme-ssd,IDE,raw,randread,4k,1,16,1,13.8789,3553,4.5007,99.8749
nvme-ssd,IDE,xfs,randread,4k,1,16,1,14.1592,3624,4.4113,99.8833
nvme-ssd,SCSI,raw,randread,4k,1,16,1,24.9609,6390,2.4955,99.8904
nvme-ssd,SCSI,xfs,randread,4k,1,16,1,25.2266,6458,2.4714,99.9066
nvme-ssd,IDE,raw,randread,4k,8,16,1,14.0449,3595,35.5873,99.8883
nvme-ssd,IDE,xfs,randread,4k,8,16,1,14.3799,3681,34.7556,99.8899
nvme-ssd,SCSI,raw,randread,4k,8,16,1,24.0830,6165,20.7210,100.0000
nvme-ssd,SCSI,xfs,randread,4k,8,16,1,25.6406,6564,19.4393,100.0000
nvme-ssd,IDE,raw,randread,4k,64,16,1,14.3232,3666,278.6873,99.8949
nvme-ssd,IDE,xfs,randread,4k,64,16,1,14.6465,3749,272.5001,99.8683
nvme-ssd,SCSI,raw,randread,4k,64,16,1,23.0479,5900,173.0785,99.9900
nvme-ssd,SCSI,xfs,randread,4k,64,16,1,22.4092,5736,177.8676,100.0000
nvme-ssd,IDE,raw,randread,16k,1,16,1,46.4150,2970,5.3836,99.8649
nvme-ssd,IDE,xfs,randread,16k,1,16,1,47.6182,3047,5.2473,99.8766
nvme-ssd,SCSI,raw,randread,16k,1,16,1,92.5801,5925,2.6946,99.8966
nvme-ssd,SCSI,xfs,randread,16k,1,16,1,94.0381,6018,2.6462,99.8788
nvme-ssd,IDE,raw,randread,16k,8,16,1,47.2529,3024,42.3077,99.8899
nvme-ssd,IDE,xfs,randread,16k,8,16,1,48.1113,3079,41.5531,99.8833
nvme-ssd,SCSI,raw,randread,16k,8,16,1,90.7783,5809,21.9745,99.9884
nvme-ssd,SCSI,xfs,randread,16k,8,16,1,90.7578,5808,21.9735,99.9917
nvme-ssd,IDE,raw,randread,16k,64,16,1,46.2861,2962,344.6763,99.8599
nvme-ssd,IDE,xfs,randread,16k,64,16,1,47.5654,3044,335.4599,99.9266
nvme-ssd,SCSI,raw,randread,16k,64,16,1,75.1963,4812,212.0746,99.9900
nvme-ssd,SCSI,xfs,randread,16k,64,16,1,81.1797,5195,196.2114,99.9817
nvme-ssd,IDE,raw,randread,64k,1,16,1,133.0508,2128,7.5132,99.8833
nvme-ssd,IDE,xfs,randread,64k,1,16,1,139.7402,2235,7.1527,99.8666
nvme-ssd,SCSI,raw,randread,64k,1,16,1,277.4844,4439,3.5987,99.8916
nvme-ssd,SCSI,xfs,randread,64k,1,16,1,287.2129,4595,3.4762,99.8849
nvme-ssd,IDE,raw,randread,64k,8,16,1,139.4814,2231,57.3296,99.8699
nvme-ssd,IDE,xfs,randread,64k,8,16,1,146.2803,2340,54.6601,99.8716
nvme-ssd,SCSI,raw,randread,64k,8,16,1,280.1162,4481,28.4671,100.0000
nvme-ssd,SCSI,xfs,randread,64k,8,16,1,270.9043,4334,29.4109,99.9867
nvme-ssd,IDE,raw,randread,64k,64,16,1,139.0957,2225,458.5211,99.8699
nvme-ssd,IDE,xfs,randread,64k,64,16,1,148.3086,2372,429.8674,99.8699
nvme-ssd,SCSI,raw,randread,64k,64,16,1,241.7422,3867,263.8766,99.9933
nvme-ssd,SCSI,xfs,randread,64k,64,16,1,243.8301,3901,261.1599,99.9850
nvme-ssd,IDE,raw,randread,256k,1,16,1,258.3184,1033,15.4746,99.8866
nvme-ssd,IDE,xfs,randread,256k,1,16,1,269.7393,1078,14.8210,99.8799
nvme-ssd,SCSI,raw,randread,256k,1,16,1,612.3320,2449,6.5241,99.9083
nvme-ssd,SCSI,xfs,randread,256k,1,16,1,440.3584,1761,9.0708,99.9099
nvme-ssd,IDE,raw,randread,256k,8,16,1,251.7764,1007,127.0031,99.8849
nvme-ssd,IDE,xfs,randread,256k,8,16,1,257.5361,1030,124.1644,99.8749
nvme-ssd,SCSI,raw,randread,256k,8,16,1,572.1299,2288,55.7948,99.9784
nvme-ssd,SCSI,xfs,randread,256k,8,16,1,431.9492,1727,73.7409,99.9485
nvme-ssd,IDE,raw,randread,256k,64,16,1,251.9385,1007,1008.2586,99.8649
nvme-ssd,IDE,xfs,randread,256k,64,16,1,264.7266,1058,959.4497,99.8633
nvme-ssd,SCSI,raw,randread,256k,64,16,1,593.2363,2372,428.8936,99.9603
nvme-ssd,SCSI,xfs,randread,256k,64,16,1,434.8164,1739,583.7899,99.9651
nvme-ssd,IDE,raw,randwrite,4k,1,16,1,16.9453,4338,3.6855,99.8849
nvme-ssd,IDE,xfs,randwrite,4k,1,16,1,13.7842,3528,4.5313,99.8983
nvme-ssd,SCSI,raw,randwrite,4k,1,16,1,17.3594,4444,3.5942,99.9066
nvme-ssd,SCSI,xfs,randwrite,4k,1,16,1,16.6143,4253,3.7528,99.9216
nvme-ssd,IDE,raw,randwrite,4k,8,16,1,17.0537,4365,29.3071,99.8916
nvme-ssd,IDE,xfs,randwrite,4k,8,16,1,13.7295,3514,36.4019,99.8899
nvme-ssd,SCSI,raw,randwrite,4k,8,16,1,16.0078,4098,31.1380,100.0000
nvme-ssd,SCSI,xfs,randwrite,4k,8,16,1,16.2383,4157,30.7077,99.9618
nvme-ssd,IDE,raw,randwrite,4k,64,16,1,17.3662,4445,229.9338,99.9366
nvme-ssd,IDE,xfs,randwrite,4k,64,16,1,13.7793,3527,289.7080,99.8883
nvme-ssd,SCSI,raw,randwrite,4k,64,16,1,13.9697,3576,285.3127,100.0000
nvme-ssd,SCSI,xfs,randwrite,4k,64,16,1,15.5664,3985,256.0042,99.9884
nvme-ssd,IDE,raw,randwrite,16k,1,16,1,47.0693,3012,5.3083,99.9133
nvme-ssd,IDE,xfs,randwrite,16k,1,16,1,38.1982,2444,6.5420,99.8899
nvme-ssd,SCSI,raw,randwrite,16k,1,16,1,44.5479,2851,5.5969,99.9269
nvme-ssd,SCSI,xfs,randwrite,16k,1,16,1,45.1943,2892,5.5240,99.9133
nvme-ssd,IDE,raw,randwrite,16k,8,16,1,47.5713,3044,42.0262,99.9133
nvme-ssd,IDE,xfs,randwrite,16k,8,16,1,39.6914,2540,50.3642,99.9216
nvme-ssd,SCSI,raw,randwrite,16k,8,16,1,41.9131,2682,47.5913,100.0000
nvme-ssd,SCSI,xfs,randwrite,16k,8,16,1,43.3564,2774,46.0123,99.9784
nvme-ssd,IDE,raw,randwrite,16k,64,16,1,47.4785,3038,336.1638,99.9099
nvme-ssd,IDE,xfs,randwrite,16k,64,16,1,39.6680,2538,402.2751,99.8982
nvme-ssd,SCSI,raw,randwrite,16k,64,16,1,41.7051,2669,381.7941,100.0000
nvme-ssd,SCSI,xfs,randwrite,16k,64,16,1,42.5264,2721,374.1519,99.9651
nvme-ssd,IDE,raw,randwrite,64k,1,16,1,110.1162,1761,9.0783,99.9149
nvme-ssd,IDE,xfs,randwrite,64k,1,16,1,95.8828,1534,10.4249,99.8666
nvme-ssd,SCSI,raw,randwrite,64k,1,16,1,100.9287,1614,9.8922,99.9299
nvme-ssd,SCSI,xfs,randwrite,64k,1,16,1,104.4961,1671,9.5548,99.8866
nvme-ssd,IDE,raw,randwrite,64k,8,16,1,109.0811,1745,73.2931,99.9199
nvme-ssd,IDE,xfs,randwrite,64k,8,16,1,96.2832,1540,83.0209,99.9316
nvme-ssd,SCSI,raw,randwrite,64k,8,16,1,98.9893,1583,80.4501,99.9719
nvme-ssd,SCSI,xfs,randwrite,64k,8,16,1,108.4854,1735,73.4228,99.9503
nvme-ssd,IDE,raw,randwrite,64k,64,16,1,106.7061,1707,597.0721,99.9416
nvme-ssd,IDE,xfs,randwrite,64k,64,16,1,95.8701,1533,663.9240,99.8949
nvme-ssd,SCSI,raw,randwrite,64k,64,16,1,97.1738,1554,653.1532,99.9470
nvme-ssd,SCSI,xfs,randwrite,64k,64,16,1,108.1865,1730,587.2754,99.9272
nvme-ssd,IDE,raw,randwrite,256k,1,16,1,237.2949,949,16.8517,99.8883
nvme-ssd,IDE,xfs,randwrite,256k,1,16,1,183.0605,732,21.8434,99.8716
nvme-ssd,SCSI,raw,randwrite,256k,1,16,1,202.0674,808,19.7553,99.9684
nvme-ssd,SCSI,xfs,randwrite,256k,1,16,1,211.6338,846,18.8683,99.9166
nvme-ssd,IDE,raw,randwrite,256k,8,16,1,227.5010,910,140.5440,99.9349
nvme-ssd,IDE,xfs,randwrite,256k,8,16,1,178.8975,715,178.7068,99.9616
nvme-ssd,SCSI,raw,randwrite,256k,8,16,1,187.6904,750,169.6133,99.9768
nvme-ssd,SCSI,xfs,randwrite,256k,8,16,1,200.5996,802,158.8239,99.9752
nvme-ssd,IDE,raw,randwrite,256k,64,16,1,226.2715,905,1121.2079,99.9099
nvme-ssd,IDE,xfs,randwrite,256k,64,16,1,191.9404,767,1319.2544,99.8638
nvme-ssd,SCSI,raw,randwrite,256k,64,16,1,188.0996,752,1342.7268,99.9768
nvme-ssd,SCSI,xfs,randwrite,256k,64,16,1,204.5332,818,1234.3803,99.9685
nvme-ssd,IDE,raw,rw,4k,1,16,1,27.4307,7022,4.5531,99.9249
